time_stamp,NO2,O3,SO2,UR,CO,pm2.5_atm,pm10.0_atm,voc,city,Name,lat,long,City_lat,City_long,index_no
2024-04-26,17.783519163763067,16.658641114982586,24.013728222996523,59.97512195121953,0.01881533101045295,4.105574912891986,24.4397212543554,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-27,16.14229166666667,17.130347222222227,21.697291666666658,58.649270833333354,0.010763888888888892,3.820833333333332,22.83506944444445,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-28,17.334195804195804,8.810944055944047,33.176678321678345,60.51618881118881,0.030419580419580393,2.4961538461538484,12.806993006993002,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-29,15.972048611111108,6.363125000000003,24.7623263888889,59.1333333333333,0.01805555555555556,2.629513888888889,17.85937500000001,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-30,18.135403508771944,8.361543859649124,27.7396842105263,54.51301754385964,0.02350877192982453,3.0185964912280734,20.605614035087722,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-01,15.58447916666667,6.59871527777778,29.011979166666677,57.09319444444444,0.0010416666666666669,2.5256944444444454,18.555555555555568,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-02,18.074444444444445,3.00511111111111,40.27102222222221,60.936977777777784,0.016000000000000007,2.118222222222223,15.2608888888889,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-03,14.809219858156021,4.981666666666667,30.88287234042553,65.26262411347518,0.005673758865248227,0.8861702127659579,6.61595744680851,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-04,17.569812500000005,1.8903125000000003,34.07424999999999,66.07093749999999,0.013125000000000003,1.8412499999999998,12.169999999999998,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-05,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-06,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-07,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-08,26.19,6.19,22.95,42.34,0.1,1.7,16.4,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-09,17.60173333333333,0.0,44.7952,65.03506666666668,0.04400000000000001,3.793333333333335,13.461333333333332,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-10,19.794825174825174,8.702867132867132,26.516853146853148,55.560419580419556,0.0482517482517482,3.8818181818181845,27.093006993006984,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-11,18.561533101045317,11.782682926829267,26.158606271777003,51.03320557491293,0.078397212543554,3.6473867595818827,23.19965156794426,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-12,17.371368421052637,10.818035087719293,29.85224561403509,48.613087719298235,0.008070175438596493,2.6564912280701765,19.75298245614035,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-13,15.57047794117647,0.9630514705882353,39.5394117647059,62.08172794117647,0.0,1.919485294117646,9.302573529411767,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-14,13.253423913043479,2.9524456521739135,31.562119565217408,63.21163043478255,0.0,0.4788043478260871,4.124999999999997,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
