City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,0.0,0.04,0.04,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,81.5
-49.273056,-25.427778,Curitiba,0.0,0.055,0.055,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.045,0.07,,65.0,69.0,79.18
-49.273056,-25.427778,Curitiba,0.0,0.0,0.1,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.07,,65.0,69.0,78.14
-49.273056,-25.427778,Curitiba,0.07,0.07,0.255,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,75.98
-49.273056,-25.427778,Curitiba,0.0,0.01,0.105,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,75.01
-49.273056,-25.427778,Curitiba,0.015,0.035,0.035,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.11,,66.0,68.0,74.45
-49.273056,-25.427778,Curitiba,0.0,0.01,0.01,,-232.0,41.0,
-49.273056,-25.427778,Curitiba,0.0,0.125,0.195,,64.0,69.0,74.33
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,59.0,79.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.055,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.1149999999999999,0.215,,65.0,70.0,73.57
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.015,,64.0,70.0,73.41
-49.273056,-25.427778,Curitiba,0.0,0.11,0.205,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.06,0.06,,64.0,72.0,73.33
-49.273056,-25.427778,Curitiba,0.0,0.02,0.16,,59.0,79.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.04,,64.0,71.0,73.07
-49.273056,-25.427778,Curitiba,0.0,0.0,0.14,,59.0,79.0,
-49.273056,-25.427778,Curitiba,0.05,0.165,0.265,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,71.0,71.46
-49.273056,-25.427778,Curitiba,0.0,0.0,0.15,,59.0,79.0,
-49.273056,-25.427778,Curitiba,0.0,0.04,0.04,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.045,,64.0,70.0,70.4
-49.273056,-25.427778,Curitiba,0.0,0.09,0.16,,60.0,79.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.015,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,70.0,69.78
-49.273056,-25.427778,Curitiba,0.0,0.0,0.23,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.025,0.025,0.025,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,71.0,70.33
-49.273056,-25.427778,Curitiba,0.0,0.0,0.03,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.085,0.085,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,71.85
-49.273056,-25.427778,Curitiba,0.05,0.1,0.1,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.06,0.1399999999999999,0.42,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,72.9
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.025,0.1149999999999999,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,73.58
-49.273056,-25.427778,Curitiba,0.0,0.31,0.31,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.085,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,69.0,73.85
-49.273056,-25.427778,Curitiba,0.0,0.08,0.08,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.045,0.18,0.215,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,73.24
-49.273056,-25.427778,Curitiba,0.0,0.135,0.265,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,73.23
-49.273056,-25.427778,Curitiba,0.0,0.0,0.02,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.19,0.285,0.32,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.07,,65.0,69.0,73.03
